Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC
29.25, 3200.0, 3197.5009765625, 0.5639128684997559
29.5, 3200.0, 3199.9208984375, 0.5639169812202454
29.75, 3200.0, 3198.493408203125, 0.5639209747314453
30.0, 3200.0, 3196.67236328125, 0.5639250874519348
30.25, 3200.0, 3203.45361328125, 0.5639291405677795
30.5, 3200.0, 3199.134521484375, 0.5639331936836243
30.75, 3200.0, 3200.461669921875, 0.5639373064041138
31.0, 3200.0, 3199.203369140625, 0.5639414191246033
31.25, 3200.0, 3196.049072265625, 0.563945472240448
31.5, 3200.0, 3199.205078125, 0.5639492869377136
31.75, 3200.0, 3199.6455078125, 0.5639533400535583
32.0, 3200.0, 3199.216796875, 0.5639575123786926
32.25, 3200.0, 3198.766845703125, 0.5639615058898926
32.5, 1400.0, 2132.25927734375, 0.5639660954475403
32.75, 1400.0, 1840.8131103515625, 0.5639718770980835
33.0, 1400.0, 1675.427001953125, 0.563978374004364
33.25, 1400.0, 1567.874755859375, 0.5639858841896057
33.5, 1400.0, 1493.01416015625, 0.5639938116073608
33.75, 1400.0, 1454.3763427734375, 0.5640017986297607
34.0, 1400.0, 1430.711669921875, 0.5640099048614502
34.25, 1400.0, 1419.0037841796875, 0.5640179514884949
34.5, 1400.0, 1409.6507568359375, 0.5640260577201843
34.75, 1400.0, 1407.5433349609375, 0.564034104347229
35.0, 1400.0, 1403.3934326171875, 0.5640418529510498
35.25, 1400.0, 1403.7767333984375, 0.5640498995780945
35.5, 1400.0, 1401.97998046875, 0.5640576481819153
35.75, 1400.0, 1400.479248046875, 0.5640658736228943
36.0, 1400.0, 1399.8004150390625, 0.5640739798545837
36.25, 1400.0, 1401.1092529296875, 0.5640822052955627
36.5, 1400.0, 1400.467041015625, 0.5640905499458313
36.75, 1400.0, 1399.3875732421875, 0.5640987753868103
37.0, 1400.0, 1400.2445068359375, 0.5641070604324341
37.25, 5600.0, 4118.5361328125, 0.5641133785247803
37.5, 5600.0, 5024.171875, 0.5641149878501892
37.75, 5600.0, 5359.888671875, 0.5641145706176758
38.0, 5600.0, 5488.634765625, 0.5641130805015564
38.25, 5600.0, 5544.63623046875, 0.5641112327575684
38.5, 5600.0, 5580.916015625, 0.5641093850135803
38.75, 5600.0, 5587.08984375, 0.5641075968742371
39.0, 5600.0, 5594.029296875, 0.564105749130249
39.25, 5600.0, 5593.8994140625, 0.564103901386261
39.5, 5600.0, 5601.107421875, 0.564102053642273
39.75, 5600.0, 5598.1259765625, 0.5641001462936401
40.0, 5600.0, 5597.5830078125, 0.5640982389450073
40.25, 5600.0, 5599.15625, 0.5640963912010193
40.5, 5600.0, 5598.97705078125, 0.5640944838523865
