Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC, Microgrid1.PV.P
94.75, 0.0, 53.74075698852539, 0.564083456993103, 4146.0849609375
95.0, 0.0, 34.28767395019531, 0.5640960931777954, 4146.0849609375
95.25, 0.0, 29.57368278503418, 0.564108669757843, 4146.0849609375
95.5, 0.0, 27.4322452545166, 0.564121425151825, 4146.0849609375
95.75, 0.0, 26.364761352539062, 0.5641340613365173, 4146.0849609375
96.0, 0.0, 25.55731773376465, 0.5641460418701172, 4146.0849609375
96.25, 0.0, 24.100162506103516, 0.5641586184501648, 4146.0849609375
96.5, 0.0, 23.39987564086914, 0.5641713738441467, 4146.0849609375
96.75, 0.0, 22.400074005126953, 0.5641841888427734, 4146.0849609375
97.0, 0.0, 21.390018463134766, 0.5641970634460449, 4146.0849609375
97.25, 0.0, 21.0628662109375, 0.5642096400260925, 4146.0849609375
97.5, 0.0, 20.315446853637695, 0.5642223954200745, 4146.0849609375
97.75, 0.0, 20.337575912475586, 0.5642353296279907, 4146.0849609375
98.0, 0.0, 20.08607292175293, 0.5642481446266174, 4146.0849609375
98.25, 0.0, 19.651782989501953, 0.5642608404159546, 4146.0849609375
98.5, 0.0, 19.36258888244629, 0.5642737746238708, 4146.0849609375
98.75, 2000.0, 397.2797546386719, 0.5642863512039185, 4146.0849609375
99.0, 2000.0, 1637.132568359375, 0.5642973184585571, 4146.0849609375
99.25, 2000.0, 1946.5101318359375, 0.5643054842948914, 4146.0849609375
99.5, 2000.0, 2001.5423583984375, 0.5643125176429749, 4146.0849609375
99.75, 2000.0, 2006.80615234375, 0.5643192529678345, 4146.0849609375
100.0, 2000.0, 2001.445068359375, 0.5643259882926941, 4146.0849609375
100.25, 2000.0, 2004.61083984375, 0.5643326640129089, 4146.0849609375
100.5, 2000.0, 2001.1885986328125, 0.5643394589424133, 4146.0849609375
100.75, 2000.0, 2000.847412109375, 0.5643461346626282, 4146.0849609375
101.0, 2000.0, 2001.941650390625, 0.5643529295921326, 4146.0849609375
101.25, 2000.0, 1998.404052734375, 0.5643596649169922, 4146.0849609375
101.5, 2000.0, 1999.96826171875, 0.5643659830093384, 4146.0849609375
101.75, 2000.0, 2000.364013671875, 0.564372718334198, 4146.0849609375
102.0, 2000.0, 1998.7845458984375, 0.564379096031189, 4146.0849609375
102.25, 2000.0, 2001.536376953125, 0.5643858313560486, 4146.0849609375
102.5, 2000.0, 2000.5960693359375, 0.5643925070762634, 4146.0849609375
102.75, 2000.0, 2001.1248779296875, 0.5643991827964783, 4146.0849609375
103.0, 2000.0, 1998.2017822265625, 0.5644055604934692, 4146.0849609375
103.25, 2000.0, 1999.319580078125, 0.5644122362136841, 4146.0849609375
103.5, 3000.0, 2505.795166015625, 0.5644184947013855, 4146.0849609375
103.75, 3000.0, 2843.58642578125, 0.5644240379333496, 4146.0849609375
104.0, 3000.0, 2929.0361328125, 0.5644286870956421, 4146.0849609375
104.25, 3000.0, 2964.004150390625, 0.5644329786300659, 4146.0849609375
104.5, 3000.0, 2981.400634765625, 0.5644375681877136, 4146.0849609375
104.75, 3000.0, 2990.966552734375, 0.5644420981407166, 4146.0849609375
105.0, 3000.0, 2992.5439453125, 0.5644465684890747, 4146.0849609375
105.25, 3000.0, 2998.575439453125, 0.5644510984420776, 4146.0849609375
105.5, 3000.0, 2993.529296875, 0.5644556283950806, 4146.0849609375
105.75, 3000.0, 2998.4228515625, 0.5644600987434387, 4146.0849609375
106.0, 3000.0, 2999.661376953125, 0.5644645690917969, 4146.0849609375
106.25, 3000.0, 2998.06640625, 0.564469039440155, 4146.0849609375
106.5, 3000.0, 2999.502197265625, 0.5644737482070923, 4146.0849609375
106.75, 3000.0, 2999.927490234375, 0.5644780397415161, 4146.0849609375
107.0, 3000.0, 3000.0595703125, 0.564482569694519, 4146.0849609375
107.25, 3000.0, 3000.48193359375, 0.5644870400428772, 4146.0849609375
107.5, 3000.0, 2999.692138671875, 0.5644915103912354, 4146.0849609375
107.75, 3000.0, 2998.96435546875, 0.5644959807395935, 4146.0849609375
108.0, 3000.0, 3002.172607421875, 0.5645003318786621, 4146.0849609375
108.25, 10000.0, 7606.93359375, 0.5645037293434143, 4146.0849609375
108.5, 10000.0, 9524.04296875, 0.5644989013671875, 4146.0849609375
108.75, 10000.0, 9862.90625, 0.5644849538803101, 4146.0849609375
109.0, 10000.0, 9958.3193359375, 0.5644661784172058, 4146.0849609375
109.25, 10000.0, 9981.6767578125, 0.5644454956054688, 4146.0849609375
109.5, 10000.0, 9990.427734375, 0.5644236207008362, 4146.0849609375
109.75, 10000.0, 9994.9560546875, 0.5644029974937439, 4146.0849609375
110.0, 10000.0, 9998.0810546875, 0.5643813014030457, 4146.0849609375
110.25, 10000.0, 10002.138671875, 0.5643595457077026, 4146.0849609375
110.5, 10000.0, 9997.0498046875, 0.5643371939659119, 4146.0849609375
110.75, 10000.0, 10000.4423828125, 0.5643149614334106, 4146.0849609375
111.0, 10000.0, 10001.42578125, 0.5642929077148438, 4146.0849609375
111.25, 10000.0, 9999.763671875, 0.5642707347869873, 4146.0849609375
111.5, 10000.0, 9998.6943359375, 0.5642486810684204, 4146.0849609375
111.75, 10000.0, 9998.7197265625, 0.5642262697219849, 4146.0849609375
112.0, 10000.0, 10001.5234375, 0.5642041563987732, 4146.0849609375
112.25, 10000.0, 9997.6650390625, 0.5641831159591675, 4146.0849609375
112.5, 10000.0, 9997.1220703125, 0.5641610622406006, 4146.0849609375
112.75, 10000.0, 9998.5556640625, 0.5641393065452576, 4146.0849609375
113.0, 5000.0, 6771.01416015625, 0.5641190409660339, 4146.0849609375
113.25, 5000.0, 5322.265625, 0.564111590385437, 4146.0849609375
113.5, 5000.0, 5061.458984375, 0.5641098618507385, 4146.0849609375
113.75, 5000.0, 5002.42236328125, 0.5641093254089355, 4146.0849609375
114.0, 5000.0, 5002.9443359375, 0.5641090869903564, 4146.0849609375
114.25, 5000.0, 5000.3154296875, 0.5641088485717773, 4146.0849609375
114.5, 5000.0, 5000.06494140625, 0.5641084313392639, 4146.0849609375
114.75, 5000.0, 5000.3046875, 0.5641079545021057, 4146.0849609375
115.0, 5000.0, 5000.11962890625, 0.5641074776649475, 4146.0849609375
