Time, Ptotal
228.75,12419.92578
229,12419.92578
229.25,12419.92578
229.5,12419.92578
229.75,12419.92578
230,12419.92578
230.25,12419.92578
230.5,12419.92578
230.75,12419.92578
231,12419.92578
231.25,12419.92578
231.5,12419.92578
231.75,12419.92578
232,12419.92578
232.25,12419.92578
232.5,12419.92578
232.75,12419.92578
233,12419.92578
233.25,12419.92578
233.5,12419.92578
233.75,12419.92578
234,12419.92578
234.25,12419.92578
234.5,12419.92578
234.75,12419.92578
235,12419.92578
235.25,12419.92578
235.5,12419.92578
235.75,12419.92578
236,12419.92578
236.25,12419.92578
236.5,12419.92578
236.75,12419.92578
237,12416.39844
237.25,12382.79297
237.5,12372.21973
237.75,12338.04004
238,12301.04688
238.25,12288.68457
238.5,12245.62695
238.75,12177.30273
239,12124.94043
239.25,12078.8457
239.5,12063.93555
239.75,12042.30957
240,12042.30957
240.25,11914.98828
240.5,11914.98828
240.75,11896.81641
241,11887.55566
241.25,11884.55566
241.5,11884.55566
241.75,11884.55566
242,11870.07617
242.25,11856.91504
242.5,11856.91504
242.75,11856.91504
243,11851.50586
243.25,11820.38379
243.5,11820.38379
243.75,11820.38379
244,11820.38379
244.25,11811.30957
244.5,11811.30957
244.75,11811.30957
245,11811.30957
245.25,11811.30957
245.5,11811.30957
245.75,11811.30957
246,11811.30957
246.25,11811.30957
246.5,11811.30957
246.75,11811.30957
247,11811.30957
247.25,11811.30957
247.5,11811.30957
247.75,11811.30957
248,11811.30957
248.25,11811.30957
248.5,11811.30957
248.75,11811.30957
249,11811.30957
249.25,11811.30957
249.5,11811.30957
249.75,11811.30957
250,11811.30957
250.25,11811.30957
250.5,11811.30957
250.75,11811.30957
251,11811.30957
251.25,11811.30957
251.5,11811.30957
251.75,11811.30957
252,11811.30957
252.25,11811.30957
252.5,11811.30957
252.75,11811.30957
253,11811.30957
253.25,11811.30957
253.5,11811.30957
253.75,11811.30957
254,11811.30957
254.25,11811.30957
254.5,11811.30957
254.75,11811.30957
255,11811.30957
255.25,11811.30957
255.5,11811.30957
255.75,11811.30957
256,11811.30957
256.25,11811.30957
256.5,11811.30957
256.75,11811.30957
257,11811.30957
257.25,11811.30957
257.5,11806.24609
257.75,11783.80664
258,11733.02734
258.25,11653.12598
258.5,11627.00977
258.75,11545.73828
259,11417.72754
259.25,11354.9502
259.5,11310.31738
259.75,11231.29004
260,11206.62891
260.25,11115.32227
260.5,10991.42969
260.75,10962.16309
261,10962.16309
261.25,10947.03906
261.5,10942.19141
261.75,10942.19141
262,10942.19141
262.25,10897.21289
262.5,10897.21289
262.75,10897.21289
263,10897.21289
263.25,10852.82227
263.5,10852.82227
263.75,10852.82227
264,10852.82227
264.25,10830.56348
264.5,10823.55469
264.75,10823.55469
265,10823.55469
265.25,10823.55469
265.5,10823.55469
265.75,10823.55469
266,10823.55469
266.25,10823.55469
266.5,10823.55469
266.75,10823.55469
267,10823.55469
267.25,10823.55469
267.5,10823.55469
267.75,10823.55469
268,10823.55469
268.25,10823.55469
268.5,10823.55469
268.75,10823.55469
269,10823.55469
269.25,10823.55469
269.5,10823.55469
269.75,10823.55469
270,10823.55469
270.25,10823.55469
270.5,10823.55469
270.75,10823.55469
271,10823.55469
271.25,10823.55469
271.5,10823.55469
271.75,10823.55469
272,10823.55469
272.25,10823.55469
272.5,10823.55469
272.75,10823.55469
273,10823.55469
273.25,10823.55469
273.5,10823.55469
273.75,10823.55469
274,10823.55469
274.25,10823.55469
274.5,10823.55469
274.75,10823.55469
275,10823.55469
275.25,10823.55469
275.5,10823.55469
