Time, Ptotal,Regd,Time regD
3816.5,15418.60156,,
3816.75,15418.60156,,
3817,15418.60156,,
3817.25,15418.60156,,
3817.5,15418.60156,,
3817.75,15418.60156,,
3818,15418.60156,,
3818.25,15418.60156,,
3818.5,15418.60156,,
3818.75,15447.72266,,
3819,15455.0127,,
3819.25,15483.57031,,
3819.5,15506.72754,,
3819.75,15512.41211,,
3820,15534.53711,,
3820.25,15570.00293,,
3820.5,15585.52344,,
3820.75,15624.13086,,
3821,15640.88672,,
3821.25,15656.85352,,
3821.5,15657.07422,,
3821.75,15721.0498,,
3822,15722.88867,,
3822.25,15730.51953,,
3822.5,15735.98633,,
3822.75,15743.26074,,
3823,15743.26074,,
3823.25,15743.90527,,
3823.5,15754.65137,,
3823.75,15760.3623,,
3824,15760.3623,,
3824.25,15760.3623,,
3824.5,15760.3623,,
3824.75,15776.87793,,
3825,15776.87793,,
3825.25,15776.87793,,
3825.5,15776.87793,,
3825.75,15782.39551,,
3826,15782.39551,,
3826.25,15782.39551,,
3826.5,15782.39551,,
3826.75,15782.39551,,
3827,15782.39551,,
3827.25,15782.39551,,
3827.5,15782.39551,,
3827.75,15782.39551,,
3828,15782.39551,,
3828.25,15782.39551,,
3828.5,15782.39551,,
3828.75,15782.39551,,
3829,15782.39551,,
3829.25,15782.39551,,
3829.5,15782.39551,,
3829.75,15782.39551,,
3830,15782.39551,,
3830.25,15782.39551,,
3830.5,15782.39551,,
3830.75,15782.39551,,
3831,15782.39551,,
3831.25,15782.39551,,
3831.5,15782.39551,,
3831.75,15782.39551,,
3832,15782.39551,,
3832.25,15782.39551,,
3832.5,15782.39551,,
3832.75,15782.39551,,
3833,15782.39551,,
3833.25,15782.39551,,
3833.5,15782.39551,,
3833.75,15782.39551,,
3834,15782.39551,,
3834.25,15782.39551,,
3834.5,15782.39551,,
3834.75,15782.39551,,
3835,15782.39551,,
3835.25,15782.39551,,
3835.5,15782.39551,,
3835.75,15782.39551,,
3836,15782.39551,,
3836.25,15782.39551,,
3836.5,15782.39551,,
3836.75,15782.39551,,
3837,15782.39551,,
3837.25,15782.39551,,
3837.5,15782.39551,,
3837.75,15782.39551,,
3838,15782.39551,,
3838.25,15782.39551,,
3838.5,15782.39551,,
3838.75,15782.39551,,
3839,15734.8291,,
3839.25,15707.63184,,
3839.5,15636.42969,,
3839.75,15538.12988,,
3840,15505.28516,,
3840.25,15389.50684,,
3840.5,15220.25684,,
3840.75,15134.87012,,
3841,15044.87988,,
3841.25,14941.72852,,
3841.5,14895.54004,,
3841.75,14822.37695,,
3842,14606.87988,,
3842.25,14557.69727,,
3842.5,14557.69727,,
3842.75,14528.9502,,
3843,14507.20117,,
3843.25,14507.20117,,
3843.5,14507.20117,,
3843.75,14464.00879,,
3844,14464.00879,,
3844.25,14464.00879,,
3844.5,14464.00879,,
3844.75,14399.98535,,
3845,14399.98535,,
3845.25,14399.98535,,
3845.5,14399.98535,,
3845.75,14364.02637,,
3846,14357.81348,,
3846.25,14357.81348,,
3846.5,14357.81348,,
3846.75,14357.81348,,
3847,14357.81348,,
3847.25,14357.81348,,
3847.5,14357.81348,,
3847.75,14357.81348,,
3848,14357.81348,,
3848.25,14357.81348,,
3848.5,14357.81348,,
3848.75,14357.81348,,
3849,14357.81348,,
3849.25,14357.81348,,
3849.5,14357.81348,,
3849.75,14357.81348,,
3850,14357.81348,,
3850.25,14357.81348,,
3850.5,14357.81348,,
3850.75,14357.81348,,
3851,14357.81348,,
3851.25,14357.81348,,
3851.5,14357.81348,,
